j,i,value
10,36,1.8514506905376038e-07
10,38,1.8507500954001443e-07
10,40,1.8499360976420576e-07
10,42,9.909005029840046e-07
10,44,9.243598469765857e-06
10,46,0.09711141884326935
10,48,0.12751244008541107
12,0,0.0
12,2,4.1668346284495783e-07
12,4,4.158491151429189e-07
12,6,4.163327673722961e-07
12,8,4.162598941093165e-07
12,10,4.13898646911548e-07
12,12,0.0024236543104052544
12,14,0.005160827189683914
12,16,4.134138578137936e-07
12,18,4.129768456095917e-07
12,20,4.181646318102139e-07
12,22,0.011739385314285755
12,24,8.878655535227153e-07
12,26,1.84729387342486e-07
12,28,1.8455835970598855e-07
12,30,1.8471064322511666e-07
12,32,1.8497716780530027e-07
12,34,1.8518271360790095e-07
12,36,1.8523776645906764e-07
12,38,1.6921502492550644e-06
12,40,9.24210689845495e-06
12,42,0.0023161484859883785
12,44,0.064073346555233
12,46,0.09849889576435089
12,48,0.11981856822967529
14,0,0.0
14,2,4.1617914803282474e-07
14,4,4.1536989670021285e-07
14,6,4.1521161620039493e-07
14,8,4.1423811580898473e-07
14,10,4.1383626125934825e-07
14,12,4.1244379644922446e-07
14,14,4.1340459233651927e-07
14,16,0.021073348820209503
14,18,0.0025729606859385967
14,20,0.0005066646263003349
14,22,6.9424086177605204e-06
14,24,0.05422130972146988
14,26,0.005310771055519581
14,28,0.02233230695128441
14,30,0.00022097205510362983
14,32,0.00023036633501760662
14,34,0.0002313513250555843
14,36,1.8515207500513498e-07
14,38,1.8932253169623436e-06
14,40,0.02326185628771782
14,42,9.25999029277591e-06
14,44,0.04226240515708923
14,46,0.01636589504778385
14,48,0.013078167103230953
16,0,0.0
16,2,4.1661039063001226e-07
16,4,4.1508673120915773e-07
16,6,0.019687870517373085
16,8,4.133969753183919e-07
16,10,4.1273040096712066e-07
16,12,4.12046432529678e-07
16,14,4.125625707729341e-07
16,16,4.138337885706278e-07
16,18,4.1713181531122245e-07
16,20,4.16422636817515e-07
16,22,0.002567320829257369
16,24,0.0178220197558403
16,26,0.013232724741101265
16,28,0.14651305973529816
16,30,0.030955523252487183
16,32,0.13082778453826904
16,34,0.18115824460983276
16,36,0.0338432639837265
16,38,0.0420285128057003
16,40,0.08875249326229095
16,42,0.0037704985588788986
16,44,0.0999448224902153
16,46,1.2990455616090912e-05
16,48,1.3032587048655841e-05
18,0,0.0
18,2,4.1378885384801833e-07
18,4,4.1580543097552436e-07
18,6,4.1550217133590195e-07
18,8,4.162944833296933e-07
18,10,4.1477497347841563e-07
18,12,4.120683172459394e-07
18,14,4.1078610024669615e-07
18,16,0.015812145546078682
18,18,0.013786098919808865
18,20,4.213082718251826e-07
18,22,0.00349947577342391
18,24,0.01978369802236557
18,26,0.0270773246884346
18,28,0.11862573027610779
18,30,0.18715231120586395
18,32,0.19467145204544067
18,34,0.18440790474414825
18,36,0.0712231919169426
18,38,0.07844283431768417
18,40,0.01613515615463257
18,42,0.006617825943976641
18,44,0.017983078956604004
18,46,0.02033398300409317
18,48,4.854914550378453e-07
20,0,1.7504090399356187e-09
20,2,4.1759517444006633e-07
20,4,4.1619477997301146e-07
20,6,4.153226313974301e-07
20,8,4.1648277715466975e-07
20,10,4.1576504372642376e-07
20,12,4.1254585880778905e-07
20,14,4.1142925510939676e-07
20,16,4.100290595943079e-07
20,18,4.1353732171955926e-07
20,20,5.861165391252143e-06
20,22,1.0275647582602687e-05
20,24,0.016009703278541565
20,26,1.01260147857829e-05
20,28,0.007701316848397255
20,30,0.026660554111003876
20,32,0.054781824350357056
20,34,0.005212006159126759
20,36,0.010103654116392136
20,38,1.4365349443323794e-06
